,TotalFlow(m3),TotalRunoff(m3),TotalMass(kg),TotalConc(ug/L),BenthicConc(ug/L)
2004-05-11,23592.947265625,38.86311721801758,57.93853759765625,2455.756591796875,0.004785589408129454
2004-05-12,23937.23828125,383.15374755859375,851.4866333007812,35571.6328125,0.005276062060147524
2004-05-13,24331.162109375,777.076416015625,2162.9609375,88896.7421875,0.005135120823979378
2004-05-14,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-15,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-16,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-17,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-18,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-19,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-20,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-21,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-22,23554.0859375,0.0,0.0,0.0,0.005135120823979378
2004-05-23,23728.236328125,174.15113830566406,330.2979431152344,13920.0380859375,0.005154619459062815
2004-05-24,23554.0859375,0.0,0.0,0.0,0.005154619459062815
2004-05-25,42813.84375,19259.759765625,52168.89453125,1218505.25,0.009345145896077156
2004-05-26,23554.0859375,0.0,0.0,0.0,0.009345145896077156
2004-05-27,23554.0859375,0.0,0.0,0.0,0.009345145896077156
2004-05-28,23554.0859375,0.0,0.0,0.0,0.009345145896077156
2004-05-29,23554.0859375,0.0,0.0,0.0,0.009345145896077156
2004-05-30,23891.529296875,337.4436950683594,855.9469604492188,35826.37890625,0.004464858211576939
2004-05-31,47723.92578125,24169.83984375,66458.203125,1392555.25,0.01008274033665657
2004-06-01,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-02,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-03,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-04,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-05,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-06,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-07,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-08,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-09,22734.48046875,0.0,0.0,0.0,0.01008274033665657
2004-06-10,32966.375,10231.89453125,25709.5546875,779872.0625,0.009182129986584187
2004-06-11,35449.46484375,12714.984375,30809.517578125,869110.9375,0.01033871527761221
2004-06-12,22734.48046875,0.0,0.0,0.0,0.01033871527761221
2004-06-13,22734.640625,0.15930214524269104,0.7685421705245972,33.80489730834961,0.01033871527761221
2004-06-14,22734.48046875,0.0,0.0,0.0,0.01033871527761221
2004-06-15,23206.802734375,472.32196044921875,872.89404296875,37613.71484375,0.0066889929585158825
2004-06-16,22734.48046875,0.0,0.0,0.0,0.0066889929585158825
2004-06-17,22734.498046875,0.017730053514242172,0.29119136929512024,12.808347702026367,0.0066889929585158825
2004-06-18,22734.48046875,0.0,0.0,0.0,0.0066889929585158825
2004-06-19,22734.48046875,0.0,0.0,0.0,0.0066889929585158825
2004-06-20,22734.48046875,0.0,0.0,0.0,0.0066889929585158825
2004-06-21,22734.48046875,0.0,0.0,0.0,0.0066889929585158825
2004-06-22,22901.42578125,166.94479370117188,379.34271240234375,16564.15234375,0.00887504406273365
2004-06-23,22734.48046875,0.0,0.0,0.0,0.00887504406273365
2004-06-24,22734.48046875,0.0,0.0,0.0,0.00887504406273365
2004-06-25,26917.263671875,4182.7822265625,8238.6162109375,306071.84375,0.009052339009940624
2004-06-26,22734.48046875,0.0,0.0,0.0,0.009052339009940624
2004-06-27,22734.48046875,0.0,0.0,0.0,0.009052339009940624
2004-06-28,22734.48046875,0.0,0.0,0.0,0.009052339009940624
2004-06-29,22734.48046875,0.0,0.0,0.0,0.009052339009940624
2004-06-30,22734.48046875,0.0,0.0,0.0,0.009052339009940624
2004-07-01,11384.7958984375,0.0,0.0,0.0,0.009052339009940624
2004-07-02,11384.8896484375,0.09365727007389069,0.8987643718719482,78.94361877441406,0.009052339009940624
2004-07-03,13554.4208984375,2169.625,4147.31982421875,305975.4375,0.00847361795604229
2004-07-04,11497.0654296875,112.26931762695312,353.5581359863281,30752.033203125,0.007635461166501045
2004-07-05,11384.7958984375,0.0,0.0,0.0,0.007635461166501045
2004-07-06,11384.7958984375,0.0,0.0,0.0,0.007635461166501045
2004-07-07,11647.73046875,262.9346923828125,629.5704956054688,54050.9140625,0.008414567448198795
2004-07-08,11384.7958984375,0.0,0.0,0.0,0.008414567448198795
2004-07-09,11384.7958984375,0.0,0.0,0.0,0.008414567448198795
2004-07-10,11384.7958984375,0.0,0.0,0.0,0.008414567448198795
2004-07-11,11384.7958984375,0.0,0.0,0.0,0.008414567448198795
2004-07-12,21678.453125,10293.6572265625,26558.7578125,1225122.375,0.011333008296787739
2004-07-13,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-14,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-15,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-16,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-17,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-18,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-19,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-20,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-21,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-22,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-23,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-24,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-25,11384.8095703125,0.013475754298269749,0.0,0.0,0.011333008296787739
2004-07-26,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-27,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-28,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
2004-07-29,11384.7958984375,0.0,0.0,0.0,0.011333008296787739
