MASTER_OID,VolumeCorr,BasinID,BID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XC01,XC02,XC03,XC04,XC05,XC06,XC07,XC08,XC09,XC10,XC11,XC12
1930,0,2490385-1,2490385,4345.118177,4269.274335,4496.805861,3488.816734,2867.386545,1573.148079,1010.435702,616.5370386,391.452088,389.0055125,2407.430341,3823.997585,0.283573728,0.281808936,0.28706064,0.262719312,0.246028464,0.204529944,0.181374288,0.161214816,0.14680692,0.146633184,0.232550208,0.271140936,1232.16136,1203.119658,1290.855968,916.5795321,705.4587073,321.7558884,183.267056,99.39490524,57.46787537,57.04111688,559.8484266,1036.842284
1931,0,2490397-1,2490397,19931942.74,22429052.31,17570569.18,13793401.5,13188644.72,8400226.63,4771453.54,3527998.64,5900672.93,6362405.35,11162302.77,18823531.47,0.460275432,0.483967536,0.436552848,0.395240256,0.388153656,0.32549592,0.265438128,0.240042192,0.285908496,0.293738808,0.363217968,0.449314824,9174183.55,10854933.18,7670482.02,5451707.54,5119220.67,2734239.49,1266525.7,846868.53,1687052.52,1868885.36,4054348.93,8457691.73
1932,0,2490457-1,2490457,5327746.1,6004772.27,4683555.42,3549256.94,2986547.01,2183072.024,980198.4749,821931.9492,1574067.991,2171893.62,3411727.59,4847901.69,0.371697504,0.389909304,0.353330256,0.317818008,0.298213272,0.266907264,0.20702016,0.19693128,0.239341152,0.266437872,0.313172856,0.358121712,1980309.93,2341316.58,1654841.84,1128017.77,890627.95,582677.7809,202920.8451,161864.1108,376739.2463,578674.7143,1068460.47,1736138.85
1936,0,2490621-1,2490621,642426.7011,890255.018,565819.5274,336311.1683,275459.9412,160551.6273,97244.03839,72807.64179,61986.43813,75474.40914,229028.8304,370697.7876,0.531406608,0.614144568,0.502886472,0.404192232,0.372999,0.303464976,0.254501904,0.231638856,0.220367352,0.234293664,0.346947744,0.420648384,341389.7941,546745.2834,284542.9859,135934.3617,102746.2826,48721.79573,24748.79292,16865.07885,13659.78723,17683.17586,79461.03601,155933.4253
1937,0,2490699-1,2490699,46774861.99,54140020.8,50240534.12,37679675.79,32012919.95,22057158.14,11644498.35,6938980.02,10122530.18,13032873.7,24822520.04,40184947.14,0.997634784,1.07059476,1.032589248,0.8996172,0.832829424,0.700235328,0.525844008,0.422053512,0.49488852,0.552459144,0.73947528,0.927631368,46664229.34,57962022.57,51877835.35,33897284.43,26661301.68,15445201.37,6123189.68,2928620.89,5009523.98,7200130.25,18355639.96,37276817.49
1938,0,2490703-1,2490703,47398251.89,47460720.3,51650532.31,39470652.28,30709269.51,23403890.33,12090151.87,7778615.39,10596241.04,14306849.63,23544142.72,39562736.49,0.55025544,0.55057548,0.571551816,0.508001016,0.456340464,0.407666952,0.314876688,0.268760448,0.299935392,0.335529936,0.408663648,0.50851308,26081145.95,26130708.86,29520955.54,20051131.46,14013882.3,9540992.64,3806906.98,2090584.16,3178187.71,4800376.34,9621635.25,20118168.99
1939,0,2490710-1,2490710,886903.2095,1175853.568,817875.5269,496544.7408,381240.0817,223210.8737,134573.8881,102357.3813,85622.80452,77013.30516,303686.0833,560388.1297,0.537554424,0.609206808,0.51887628,0.419971728,0.37729668,0.307201824,0.256964688,0.2349246,0.222180912,0.215167464,0.345067128,0.44159424,476758.7439,716337.999,424376.2109,208534.7528,143840.6171,68570.78755,34580.73718,24046.26686,19023.7528,16570.75757,104792.0846,247464.1703
1941,0,2490753-1,2490753,41552223.22,40132945.17,45623021.56,33879965.36,25506142.18,20556957.16,10317938.17,6804278.91,9191975.17,12334806.98,19651628.79,33450028.64,0.539371032,0.531229824,0.562032912,0.493620552,0.437698896,0.400501104,0.3065526,0.264392664,0.293900352,0.32769048,0.393256008,0.490920024,22412065.52,21319817.4,25641639.66,16723847.2,11164010.27,8233084.04,3162990.77,1799001.43,2701524.74,4041998.82,7728121.09,16421288.86
1942,0,2490769-1,2490769,5969891.45,7315001.56,5359527.12,4053527.96,3753790.65,2035986.348,1233411.705,797407.4759,1267052.118,2045821.582,3491329.37,5359417.02,0.511649472,0.559234848,0.488402376,0.434041296,0.420450264,0.329903328,0.2747772,0.237402624,0.277380192,0.330506832,0.408124152,0.488399328,3054491.81,4090803.78,2617605.78,1759398.53,1578282.27,671678.672,338913.4146,189306.6272,351455.1599,676158.0098,1424895.84,2617535.67
1943,0,2490771-1,2490771,40299635.26,44376917.02,37558592.32,27527507.79,25370702.2,16307639.54,9871619.18,6393080.51,10549247.21,11837246.91,22330151.94,37588714.56,0.526752312,0.549475152,0.510863088,0.447458592,0.432471576,0.361672632,0.29903928,0.256797048,0.3064002,0.31979616,0.410288232,0.51104292,21227926.05,24384013.23,19187298.46,12317419.88,10972107.57,5898026.91,2952001.89,1641724.2,3232291.46,3785506.11,9161798.56,19209446.45
