MASTER_OID,VolumeCorr,BasinID,BID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XC01,XC02,XC03,XC04,XC05,XC06,XC07,XC08,XC09,XC10,XC11,XC12
2126,42580.02,3117492-4,3117492,8996.058297,4575.096279,18645.35227,58067.0241,48300.29451,30917.37523,18608.65363,11922.16266,27086.03791,34139.51522,38501.75943,18371.3358,0.161004504,0.140793216,0.192670176,0.274371816,0.257568192,0.22306788,0.192566544,0.171812712,0.214310976,0.230044752,0.239015016,0.191899032,1448.405904,644.1425186,3592.403303,15931.95485,12440.61953,6896.673347,3583.404119,2048.379099,5804.835221,7853.616313,9202.498646,3525.441558
2341,258728.23,1911274-5,1911274,63642.76978,99142.58101,122803.4132,82554.79878,54710.32245,35923.0688,22082.79091,15327.79582,19526.11946,43453.62834,67112.01391,72616.8089,0.237899448,0.296216832,0.329729592,0.270442944,0.22096476,0.180462936,0.143685768,0.12173712,0.135806688,0.1976628,0.24417528,0.253834392,15140.5798,29367.70126,40491.91932,22326.36282,12089.05327,6482.782466,3172.982772,1865.961719,2651.777614,8589.165849,16387.09479,18432.64354
2345,13299.17,1922175-4,1922175,5030.159331,2534.65227,11276.26671,34552.98649,23917.72258,20663.7771,11589.42838,7305.474592,15802.43148,23443.08692,23836.98558,10224.23922,0.180398928,0.154039824,0.226640136,0.334389984,0.291730176,0.27695652,0.228581712,0.199333104,0.252670056,0.289639248,0.291376608,0.219916248,907.4353509,390.4373895,2555.654621,11554.1726,6977.521417,5722.967794,2649.13138,1456.222927,3992.801246,6790.038066,6945.540004,2248.476329
2372,230328.84,2684431-4,2684431,7966.049991,42952.08036,9465.800803,6931.148533,5402.038814,2955.463264,1732.175489,1017.775429,814.7096582,609.197312,2705.912558,6860.197842,0.158047944,0.250698,0.164189664,0.153485088,0.146108928,0.131829048,0.12248388,0.115476528,0.113083848,0.11035284,0.130097784,0.153158952,1259.017823,10768.00064,1554.186653,1063.827943,789.2861002,389.6159085,212.1635748,117.5291728,92.13050315,67.22665349,352.0332275,1050.700712
2371,64898.30,2684165-4,2684165,68885.78119,122710.4433,52249.06745,27379.62698,23191.08964,13639.65869,8203.367819,4247.255155,2838.027638,16604.90826,28416.97501,37877.88267,0.20973288,0.251255784,0.193932048,0.164905944,0.158919672,0.142975584,0.131387088,0.120356376,0.115278408,0.148367496,0.166320216,0.178240944,14447.61328,30831.70863,10132.76866,4515.063234,3685.520359,1950.138167,1077.81661,511.1842384,327.163308,2463.62866,4726.317422,6751.389563
2398,11961.34,3127371-4,3127371,54688.30327,57222.95554,86569.62926,136961.7459,79574.86976,67469.21394,37068.06616,24629.67606,41007.05279,64217.71504,76663.44486,61900.80799,0.324532752,0.33014412,0.388205472,0.469358472,0.375333768,0.351730056,0.281519376,0.244928136,0.291849048,0.345057984,0.369819936,0.340205568,17748.14556,18891.8223,33606.80379,64284.15576,29867.13571,23730.9504,10435.37885,6032.500648,11967.86932,22158.83529,28351.67027,21058.99954
1882,21604.87,5658190-4,5658190,7156590.68,6323470.54,7857373.1,4592246.77,3565472.84,1776328.838,1067203.595,766428.9362,887737.4917,847109.6582,2654069.62,5694267.58,0.404475696,0.384727704,0.420264336,0.339309456,0.308463696,0.242139216,0.207023208,0.188802264,0.196495416,0.193977768,0.277346664,0.36899088,2894667,2432814.3,3302173.69,1558192.75,1099818.93,430118.8723,220935.9118,144703.5184,174436.3477,164320.4407,736097.3558,2101132.81
2400,21604.87,3313372-4,3313372,7156590.68,6323470.54,7857373.1,4592246.77,3565472.84,1776328.838,1067203.595,766428.9362,887737.4917,847109.6582,2654069.62,5694267.58,0.404475696,0.384727704,0.420264336,0.339309456,0.308463696,0.242139216,0.207023208,0.188802264,0.196495416,0.193977768,0.277346664,0.36899088,2894667,2432814.3,3302173.69,1558192.75,1099818.93,430118.8723,220935.9118,144703.5184,174436.3477,164320.4407,736097.3558,2101132.81
2420,21604.87,5136620-4,5136620,7156590.68,6323470.54,7857373.1,4592246.77,3565472.84,1776328.838,1067203.595,766428.9362,887737.4917,847109.6582,2654069.62,5694267.58,0.404475696,0.384727704,0.420264336,0.339309456,0.308463696,0.242139216,0.207023208,0.188802264,0.196495416,0.193977768,0.277346664,0.36899088,2894667,2432814.3,3302173.69,1558192.75,1099818.93,430118.8723,220935.9118,144703.5184,174436.3477,164320.4407,736097.3558,2101132.81
1822,151721.69,5254945-4,5254945,38898.10467,74371.00357,61323.41616,39047.34578,29760.14499,23673.06502,19641.10852,11868.33799,18723.64268,29102.01617,34063.67138,34653.29609,0.352635312,0.458882496,0.423358056,0.353162616,0.318357504,0.2926842,0.273929856,0.231699816,0.269415768,0.315708792,0.33503616,0.337242912,13716.84528,34127.55175,25961.76225,13790.06278,9474.365478,6928.732097,5380.286027,2749.891729,5044.444574,9187.762369,11412.56166,11686.57848
